loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc
0.09417989104986191,0.9848515391349792,0.9848515391349792,0.9848515391349792,0.9954080581665039,0.001069123623892665,0.9987499713897705,0.9987499713897705,0.9987499713897705,0.9999984502792358
0.024827348068356514,0.9947832822799683,0.9947832822799683,0.9947832822799683,0.9984266757965088,0.008027532137930393,0.9962499737739563,0.9962499737739563,0.9962499737739563,0.999967098236084
0.01595720462501049,0.9954855442047119,0.9954855442047119,0.9954855442047119,0.9992017149925232,0.002543264301493764,0.9987499713897705,0.9987499713897705,0.9987499713897705,0.9999985098838806
0.025634286925196648,0.9946829676628113,0.9946829676628113,0.9946829676628113,0.9984314441680908,0.000836868304759264,1.0,1.0,1.0,1.0000001192092896
0.017773665487766266,0.9960874915122986,0.9960874915122986,0.9960874915122986,0.9988091588020325,0.003736147889867425,0.9975000023841858,0.9975000023841858,0.9975000023841858,0.9999938011169434
0.01433576364070177,0.9963884353637695,0.9963884353637695,0.9963884353637695,0.999512791633606,0.0005162921734154224,1.0,1.0,1.0,1.0000001192092896
0.010832023806869984,0.9967897534370422,0.9967897534370422,0.9967897534370422,0.9996448755264282,0.01446450874209404,0.9950000047683716,0.9950000047683716,0.9950000047683716,0.9998796582221985
0.008461627177894115,0.9977929592132568,0.9977929592132568,0.9977929592132568,0.9996727705001831,7.116858614608645e-05,1.0,1.0,1.0,1.0
0.006318439729511738,0.9979935884475708,0.9979935884475708,0.9979935884475708,0.999681830406189,6.776602276659105e-06,1.0,1.0,1.0,1.0
0.007974738255143166,0.9976926445960999,0.9976926445960999,0.9976926445960999,0.9998621940612793,0.00019948456611018628,1.0,1.0,1.0,1.0
0.015771498903632164,0.9967897534370422,0.9967897534370422,0.9967897534370422,0.9991475343704224,0.00015055753465276212,1.0,1.0,1.0,1.0000001192092896
0.007518120110034943,0.9975922703742981,0.9975922703742981,0.9975922703742981,0.9994801878929138,6.554580613737926e-05,1.0,1.0,1.0,1.0
0.013223276473581791,0.9970906972885132,0.9970906972885132,0.9970906972885132,0.9992691874504089,9.551018592901528e-05,1.0,1.0,1.0,1.0
0.014166026376187801,0.9973916411399841,0.9973916411399841,0.9973916411399841,0.9990487694740295,5.274567593005486e-05,1.0,1.0,1.0,1.0
0.006607030518352985,0.9982945322990417,0.9982945322990417,0.9982945322990417,0.9996856451034546,0.0002694005088414997,1.0,1.0,1.0,1.0
0.009461116977036,0.9979935884475708,0.9979935884475708,0.9979935884475708,0.9993695020675659,0.00032175693195313215,1.0,1.0,1.0,1.0
0.006024008616805077,0.9979935884475708,0.9979935884475708,0.9979935884475708,0.9998828172683716,1.7766702512744814e-05,1.0,1.0,1.0,1.0
0.015138247981667519,0.9975922703742981,0.9975922703742981,0.9975922703742981,0.9991581439971924,0.0006994640571065247,1.0,1.0,1.0,1.0000001192092896
0.005203945096582174,0.9986958503723145,0.9986958503723145,0.9986958503723145,0.9996892809867859,4.2714336814242415e-06,1.0,1.0,1.0,1.0
0.005896957591176033,0.9980939030647278,0.9980939030647278,0.9980939030647278,0.9997877478599548,6.031527300365269e-05,1.0,1.0,1.0,1.0
